source_page,virkfom,iverksatt,category_code,category,annual_amount_nok,g_factor,validation
page-18.png,2013-05-01,2013-06-15,EU,SU m/ektefelle under 67 år,209954.00,,source_verified
page-18.png,2013-05-01,2013-06-15,EO,SU m/ektefelle over 67 år,155372.00,,source_verified
page-19.png,2012-05-01,2012-06-23,EN,SU Enslig,162615.00,,source_verified
page-19.png,2012-05-01,2012-06-23,EU,SU m/ektefelle under 67 år,203269.00,,source_verified
page-19.png,2012-05-01,2012-06-23,EO,SU m/ektefelle over 67 år,150425.00,,source_verified
page-20.png,2011-05-01,2011-06-25,EN,SU Enslig,157639.00,,source_verified
page-20.png,2011-05-01,2011-06-25,EU,SU m/ektefelle under 67 år,197049.00,,source_verified
page-20.png,2011-05-01,2011-06-25,EO,SU m/ektefelle over 67 år,145822.00,,source_verified
page-21.png,2010-05-01,2010-06-25,EN,SU Enslig,,2.0000,source_verified_factor
page-21.png,2010-05-01,2010-06-25,EU,SU m/ektefelle under 67 år,,2.5000,source_verified_factor
page-21.png,2010-05-01,2010-06-25,EO,SU m/ektefelle over 67 år,,1.8500,source_verified_factor
page-22.png,2009-05-01,2009-05-01,EN,SU Enslig,,1.9700,source_verified_factor
page-22.png,2009-05-01,2009-05-01,EU,SU m/ektefelle under 67 år,,2.4700,source_verified_factor
page-22.png,2009-05-01,2009-05-01,EO,SU m/ektefelle over 67 år,,1.8200,source_verified_factor
page-23.png,2008-05-01,2008-05-01,EN,SU Enslig,,1.9400,source_verified_factor
page-23.png,2008-05-01,2008-05-01,EU,SU m/ektefelle under 67 år,,2.4400,source_verified_factor
page-23.png,2008-05-01,2008-05-01,EO,SU m/ektefelle over 67 år,,1.7900,source_verified_factor
page-24.png,2007-05-01,2007-05-01,EN,SU Enslig,,1.7933,source_verified_factor
page-24.png,2007-05-01,2007-05-01,EU,SU m/ektefelle under 67 år,,2.2933,source_verified_factor
page-24.png,2007-05-01,2007-05-01,EO,SU m/ektefelle over 67 år,,1.6433,source_verified_factor
page-25.png,2006-05-01,2006-05-01,EN,SU Enslig,,1.7933,source_verified_factor
page-25.png,2006-05-01,2006-05-01,EU,SU m/ektefelle under 67 år,,2.2933,source_verified_factor
page-25.png,2006-05-01,2006-05-01,EO,SU m/ektefelle over 67 år,,1.6433,source_verified_factor
page-26.png,2006-01-01,2006-01-01,EN,SU Enslig,,1.7933,source_verified_factor
page-26.png,2006-01-01,2006-01-01,EU,SU m/ektefelle under 67 år,,2.2933,source_verified_factor
page-26.png,2006-01-01,2006-01-01,EO,SU m/ektefelle over 67 år,,1.6433,source_verified_factor
